S.N,District_Name,Zone,Ecological_Belt,Development_Region,Year_BS,Year_AD,Condition,Type,Male,Female,Age,Married,Unmarried,Education,Employment,Lat,Long,Age_Group
0,Taplejung,Mechi,Mountain,Eastern,2069,2012,Severe,Depression,26,24,19,27,23.0,"Some College, short continuing education or equivalent",no,27.61858869,87.85666093,young
1,Taplejung,Mechi,Mountain,Eastern,2069,2012,Severe,Psychosis,53,30,50,57,26.0,None,yes,27.61858869,87.85666093,old
2,Taplejung,Mechi,Mountain,Eastern,2069,2012,Major,Anxiety,24,32,21,37,19.0,Unknown,yes,27.61858869,87.85666093,Middle-age
3,Taplejung,Mechi,Mountain,Eastern,2069,2012,Major,Mental retardation,48,46,20,51,43.0,"College degree, bachelor, master",yes,27.61858869,87.85666093,Middle-age
4,Taplejung,Mechi,Mountain,Eastern,2069,2012,Major,Hysteria,49,29,60,45,33.0,Unknown,retired,27.61858869,87.85666093,old
5,Taplejung,Mechi,Mountain,Eastern,2069,2012,Severe,Alcoholism,30,20,27,49,1.0,"College degree, bachelor, master",yes,27.61858869,87.85666093,Middle-age
6,Taplejung,Mechi,Mountain,Eastern,2069,2012,Major,Epilepsy,54,25,28,24,55.0,"College degree, bachelor, master",yes,27.61858869,87.85666093,Middle-age
7,Panchthar,Mechi,Hill,Eastern,2069,2012,Normal,Depression,54,49,58,23,80.0,"College degree, bachelor, master",yes,27.05953098,87.82000369,old
8,Panchthar,Mechi,Hill,Eastern,2069,2012,Severe,Psychosis,54,37,37,22,69.0,"College degree, bachelor, master",yes,27.05953098,87.82000369,Middle-age
9,Panchthar,Mechi,Hill,Eastern,2069,2012,Severe,Anxiety,59,26,59,53,32.0,None,yes,27.05953098,87.82000369,old
10,Panchthar,Mechi,Hill,Eastern,2069,2012,Severe,Mental retardation,27,54,28,26,55.0,"College degree, bachelor, master",yes,27.05953098,87.82000369,Middle-age
11,Panchthar,Mechi,Hill,Eastern,2069,2012,Major,Hysteria,27,37,59,48,16.0,"College degree, bachelor, master",retired,27.05953098,87.82000369,old
12,Panchthar,Mechi,Hill,Eastern,2069,2012,Minor,Alcoholism,54,21,29,19,56.0,"College degree, bachelor, master",yes,27.05953098,87.82000369,Middle-age
13,Panchthar,Mechi,Hill,Eastern,2069,2012,Severe,Epilepsy,35,49,29,51,33.0,"College degree, bachelor, master",yes,27.05953098,87.82000369,Middle-age
14,Ilam,Mechi,Hill,Eastern,2069,2012,Minor,Depression,54,44,47,19,79.0,PhD/Doctorate,yes,26.8560453,87.9452083,old
15,Ilam,Mechi,Hill,Eastern,2069,2012,Normal,Psychosis,38,23,22,53,8.0,"College degree, bachelor, master",yes,26.8560453,87.9452083,Middle-age
16,Ilam,Mechi,Hill,Eastern,2069,2012,Normal,Anxiety,22,34,19,45,11.0,"Some College, short continuing education or equivalent",no,26.8560453,87.9452083,young
17,Ilam,Mechi,Hill,Eastern,2069,2012,Minor,Mental retardation,59,38,45,21,76.0,PhD/Doctorate,no,26.8560453,87.9452083,old
18,Ilam,Mechi,Hill,Eastern,2069,2012,Minor,Hysteria,45,36,60,20,61.0,None,retired,26.8560453,87.9452083,old
19,Ilam,Mechi,Hill,Eastern,2069,2012,Major,Alcoholism,30,47,43,36,41.0,PhD/Doctorate,no,26.8560453,87.9452083,old
20,Ilam,Mechi,Hill,Eastern,2069,2012,Major,Epilepsy,42,57,51,40,59.0,"College degree, bachelor, master",no,26.8560453,87.9452083,old
21,Jhapa,Mechi,Terai,Eastern,2069,2012,Major,Depression,52,30,45,47,35.0,PhD/Doctorate,retired,26.57197501,87.95532113,old
22,Jhapa,Mechi,Terai,Eastern,2069,2012,Minor,Psychosis,26,50,58,42,34.0,Unknown,retired,26.57197501,87.95532113,old
23,Jhapa,Mechi,Terai,Eastern,2069,2012,Severe,Anxiety,34,57,35,43,48.0,"College degree, bachelor, master",yes,26.57197501,87.95532113,Middle-age
24,Jhapa,Mechi,Terai,Eastern,2069,2012,Major,Mental retardation,30,43,19,35,38.0,"Some College, short continuing education or equivalent",no,26.57197501,87.95532113,young
